poeta,mes,año,categoria,llengua,texto,poetafullname
AA,abril,2019,finalista,castellano, tendido en el tenso y lo que se quería  entre yo y mis expectativas entender al  tiránico yugo que yace debajo ya de  entrada en la vaca en los ojos con los  tuyos murmura mis palabras aunque sean  armonías malgasta tu saliva recuerdan tu  memoria que no es por voluntad propia  cuando atribuyó desentendido del técnico  truco que se forma entre mi objeto y mis  objetivos  tratar al tártaro verdugo que yates  sobre su frente estarán dándose en el  zulo que tiene tura con tus muslos  claudica vez palabras aunque sean de  cólera malgasta bucal y va y lo está  efectivo recuerdo en mis adentros  química bernés críptica y la cripta  micro mal a ver no me consuela no es un  dios mi cantante está como que habían  cascada que intentan encontrar a un  déspota minuto en la garganta garabatea  golpe están atacando gritos como  gárgolas en bóvedas satánico dañando así  su voz sufren me sufre pues es mi su  fertilidad es demora su cráneo  recalcitrante se demanda la construcción  es como quien clava lágrimas en córner  entonces la bañar de excelente explota  el peso aprieta con tal fuerza que rompe  el miedo ya hace florecer el odio como  la ignorancia es tan del hombre que los  rompe  en la guerra  la existencia ama al ignorante y por  esto el amor es caos y el amor a guerra  el ignorante ama a la existencia y por  eso el amor e ciego y el amor es sólido  te diré que te caes por creer que mi  caos es algo que yo creo que no me lees  y en mi novela por el premio que se  pondrá en justo antes de sentarte en las  landas en la justa justo antes que estén  las de la terminal ingle  en el lugar que me su blog tiene que  escuchar a la gente sus cartas las  llamas que me queman y si me gusta  porque supeditarlo a una energía angosta  me da más margen con un capitalismo  amplio  porque quererte no me estaré tan a  cuenta como amarga porque quererme no te  sale tan a cuenta como vivir ahora que  acabas de conocerme  a mí  ,arjan alvarez
MM,abril,2019,finalista,castellano,,Makis Moulos
PO,abril,2019,ganador,castellano, recuérdame  el arrepentimiento es verso es muy  bonito pero poco útil maría esteve  recuérdame  recuérdame cuando la misma noche que fue  testigo de cómo obraba el interior más  abrasador de tu sexo  te abrace ahora con la piel del silencio  recuérdame por que estuvimos tan cerca  del abismo que los suicidas nos tuvieron  envidia y volcaron toda su ira para  invocar al delirio homicida e impedir  que salta semos hacia su extraña siendo  coral de siempre  arte del todavía  nadie hablará sobre nosotros así que  tendré que madrugar sobre la vida para  exigirle a la nada que me devuelva la  piel erizada de los abrazos porque lo  único que sobrevivió de nosotros es este  pecho acribillado se despoja el pálido  crespón de mis ojos de plomo y el verde  cae al suelo para destapar las nobles  cuencas de este teatro y su doble  vestido el bálsamo insondable escanció  el sabor de un orgasmo y después caigo  rendido como el semen imantado se  desprende lentamente por el vientre  hasta encontrar cobijo en el ombligo  porque sabe que esa cicatriz es el surco  desde donde arranca la vida  tú necesitabas guerras y exigía sus  cuerpos  yo esperaba conciencia en los actos y  verdad en los pactos pero nos fallamos  nos faltamos en principios y nos  mentimos en finales y ahora que la  poesía es arma y no órgano en el vaho de  los cristales duele saber que por ser  alguna vez tú y yo sólo fuimos carne  hemorragia de delirio y puñal en espalda  se han quemado todos los puentes el  precipicio es el único perdón y su  gravedad de aprendizaje para quienes  tienen las manos manchadas de mentiras  que al verse ya no se reconocen no me  queda luz en los ojos para mirarte y los  tuyos puebla miserias y desiertos porque  la cicatriz se ha vuelto herida y la  herida grave y la llaga estigma y el  estigma metástasis mi alma es brasa de  tumba y dentro de mi pecho dentro de mi  pecho se muestra la belleza de un campo  de concentración tras la nevada de tu  último adiós porta una cruz ardiendo mi  falo y una suma de espinas en el sacro  racimo genital pero mis versos ya no  quieren ser autolesión necesitan ir más  allá desean ser cambio amanecer pero  de fluir de coágulos burdeos emanando de  la magrebí o vertical porque después de  haberme muerto tantas veces en tu  vientre te roban te perdonan con astros  en llamas de suplicar de clemencia por  creer no ser suficiente y cargando todo  este puto de acontecido  me he dado cuenta que este infierno solo  mío  y nada  nada de este dolor se corresponde  contigo  así que por todos mis errores cometidos  lo siento ,pablowski
AL,Marzo,2019,finalista,castellano, tristes nos quieren tristes mentes  preñadas de intereses  nos quieren fragmentados de construidos  deshumanizados  enemigos agazapados en el cajón  nos quieren carentes de todo sobre ello  ociosos tratando de llenarnos de nada en  escenarios vacíos de intenciones nos  quieren atrapados por sombras enroscadas  que aprietan abrieran cada día un poco  más cada día una vuelta más metal  fundido que abrasa soledades  pero no todo está perdido yo he visto  cosas que vosotros no creeríais  recitar poemas en llamas más allá de  netflix y hb o he visto gente sin  carrera comprar por varios en la  oscuridad cerca de la puerta del cccb y  no podemos permitir que todos esos  versos se pierdan en el tiempo como  páginas en la lluvia y no podemos  permitir que sus absurdas historias  tercer en nuestra alegría  porque no debemos olvidar nunca que es  la luz que proyecta nuestras sombras  sobre el mundo aún no es hora de morir  y si solo compensarlo y si solo con  nombrar nuestro relato este pudiese  cobrar vida y si os dijera que somos  capaces de crear universos enteros  el interior y si entre todas nos lo  creemos  frente a su tristeza y su violencia  todas disponemos de un arma frente a su  miedo y suspendidas todas disponemos de  una historia única de un poema único  un poema para gobernarlos a todos un  poema para embaucar los un poema para  destripar los a todos y hundirlos en la  ciénaga de la esperanza  personas poemas en tiempos ficción  o si lo preferís en palabras de aquellos  grandes maestros  bersani con and access to love is my  land and sensing when you felicidades    la explosión de sangüesa  el luto de bright side of light    de la playa  pero que muchas veces pasa    nada ,Alex Loro
AA,Marzo,2019,finalista,castellano, no quiero frases de autoayuda que sirvan  de yo a mi espíritu crítico  no quiero que dos conceptos opuestos  sean sinónimos para no tener que  distinguirlo la derrota del estudio en  profundidad contra la profana belleza  carente de fondo ilustra los lastres que  oprimen al pecho y esconden las cumbres  los escombros los cínicos hombres con  aires de médicos con las pastillas en  palabras para que olvides tu poca  importancia y después de ser pensar que  con sobrevivir le bajas a tus hombros  atrapado en un trapecio tropieza el  equilibrio con el bromo que como bruma  por las cosas que descubre descendiendo  la laringe era una humanidad cuyo estado  de embriaguez es de profética perpetuo  llora y asombro al ver la presente  aunque se encuentra voluntariamente el  individuo por ingenuo como el supuesto  género y no dañes encañona desde  sectores de marfil en tonos neutros  donde le gusta introducción diez  habituales de elegir hacia el abismo a  los más crédulos se vende fácil un monto  pusilánime y que conseguirá cambios se  venden fácil fácil que mister wonderful  en poemas gran contenedor libro  contenido que no se pueden saltar los  ánimos aunque tú quieras estar no está  permitido  que el campo no puede serlo pues quien  tiene la verdad absoluta porque tanto el  viento muy mal son relativos  que la espina les importa ese insulto  cuesta de ejecutar la conducta de una  prostituta demostró la foto pero prueba  lo contrario y gritar con ella porque me  parezca cómico que no quiere igualar tu  líquida opinión a mí sólido argumentario  inventamos términos para describir los  nuevos y turbios métodos pues verdades  eufemismos para hablar de los suburbios  todos los modernos  oigo a lo lejos  el cante sin causa de una generación  criada entre aprovechadas paredes  donde el grito feroz de la ausencia  está en el estómago  si hay un dios  si hay un dios es obvio que no nos  quiere  hola ,arjan alvarez
MB,Marzo,2019,finalista,castellano, petrificada estática paralizada en el  punto muerto casi exacto no titulativa  en mí con este compás de 4x4 soy métrica  del romance actitud de magnate y un  corte de mangas bien grande dedicado al  capullo baboso que se cree interesante  quiero dejar de fumar  pero sigo petrificada estática  paralizada en el punto de fuga de este  día 4 que disfruta tus curvas y las  vuelve el laberinto recorrido por  trastos cubiertos de máscaras que con  las copias del dios demiurgo creen saber  las verdades más exactas venganza para  sapo kriptonita para el superhombre que  no ve más allá del bien y el mal  quiero críticas destructivas como las  cerradas cerrar la puerta y sobrevivir  en mi propio infierno como sangre  aprender sabiendo que soy una maestra  ignorante que aplican sus alumnos el  sapere aude que prefiero en cultos  abiertos de mente antes que  intelectuales que seguro que saben mucho  de nada y que por eso culpan de los  problemas a los inmigrantes  que levante esa lente de la lógica y  configuremos con las palabras un baile  que viva lo empírico volvamos a  babilonia y dejemos que los astros se  vuelven a los dados nuestro destino que  él te quiere ausente como neruda y yo  que los ceses nunca  si preferimos más de miguel es el rayo  que alumbra el españolito que ven a  españa que quiere vivir ya vivir en  pieza pero en un país de manchados que  señalan a perder una pieza de su condado  condenado a golpe de estrado que tiran  las obras al pueblo y se traba la llave  del candado la ciencia se atascan pero  tranquilos que la tecnología prospera  decora un bate se desinfecta solo como  el enfermo en la sala de espera  químicos barbitúricos en general son  tareas que permitimos que se mantengan  al margen de la moral dado ningún profe  no me la pela que vaya proporcionar a  los nazis su dinero es a brillo si soy  una cara bonita y no me queda más  remedio mi ser la ciencia de la gente  que lleva los fusibles fundidos de esos  que se arrancan la piel con sarna  esquizofrénicos pensando que están  repletos de picadas de mosquitos  autodestrucción permitida más allá del  cuerpo venenos hijo veneno soy joven  pero ya veo cómo funciona el mundo web y  no me gusta ni un pelo  y por eso en el cambio existo nos queda  tiempo  alarte siempre lo tuvimos y ahora está  bordería repelente de la nueva  generación de mujeres que no tiene miedo  a enseñar los dientes así que sonríe  pero ante la sociedad muere ,marta b
MM,Marzo,2019,finalista,castellano,,Makis Moulos
PO,Marzo,2019,ganador,castellano, pueblo  hemos visto a la hegemonía vestirse de  mediocridad la katana  bajo el suelo  la poesía amordazada  más allá del fango y las piedras es  contra gloria pero solo los que van a  morir para ser después inmortales  pueden escucharla  malditos sean los traidores no cabe el  olvido ni el perdón  es el todo  contra la nada  si ellos vuelven a atacar en nombre de  dios responderemos con nihilismo la  justicia está servida el metal les  aguarda y de sus cráneos y hacer a la  sangre de nuestra victoria el batallón  incandescente retorna así que tiemblen  si quieren las clases gobernantes y  explotadoras pues ha llegado su hora  de soñar entonces con mi frente partirán  dos y el poema grita tu nombre bajo  tierra sepultado en las cometas como la  única patria digna por la que  enorgullecerse porque tú  tú eres la cebolla de hernández la luna  de federico la senda de machado  tú eres 1931 cuba y su sierra maestra la  moneda con allende portugal y la  revolución de los claveles tú eres la  lucha de clases el grito no pasaran rosa  marley la cal en dos yo no es la sangre  tú eres la generación del 27 explore  tarja do eres 1937 y denigrado eres la  plaza syntagma en llamas los mártires de  chicago la voz enterré deja los panteras  negras eres angela davis maria banús  rosa luxemburgo clara zetkin la guasa y  sé garcía ley la calle keny arkana gata  katana las madres de la plaza de mayo  he visto a maría ver con la pasión del  ejército rojo callar y perder por  humildad mientras las lágrimas  iluminaban tus ojos tu único principio  hasta la tragedia siempre  pero basta ya ya está bien no consientas  que te hablen nunca más de guerrilleros  muertos ni batallones ni héroes que no  te hablen de dioses ni de cruces de  madera y neblinas cortas y breves que no  se atrevan a venderte cuentos mitos ni  leyendas que no os en decirte jamás  quiero imposible es por definición  imposible porque tú y sólo tú has visto  la muerte cara a cara y tus ojos de alma  han besado su triste cadáver a que  transportadores que en el caballero la  sábana encorsetada al cuerpo clavos y  tornillos en los bolsos sin merecer la  penitencia  por todo esto por todo esto  no permitas que te traten nunca más  tú  porque usted puede es la razón viviente  de que nosotros y nosotras sus buenas  deseemos empezar a vivir para contarlo ,pablowski
O,enero,2019,finalista,castellano, si tuviera un sueño  sólo uno  juraría esta alma gran grenada  esta inexistencia en esta existencia  innecesaria que destapa décadas  quiere el logrado usted  el pueblo opuesto los súbditos rotos el  baño de nudillos el alcohol el alcohol  recorriendo la tráquea mientras una  enfermedad juega al juego de ocultarse  de los muertos y traviesa  se esconde  si tuviera un sueño sería valiente  alzaría capa y espada para adaptarme de  valor y volver a volar aire en un  intento victoriosa encontrarla y  gritarle que ya basta  que en ningún momento me cuestionó si  podía compartir con ella en casa mis  amigos mi trabajo mi emocionalidad nunca  eléctrico consejo ni la envidia de forma  sana y mucho menos creo que debería  aprender nada de ella tras haberla  conocido en otros seres y ahora ahora la  veo pegada más bien yo pegada a ella  así que pensaría en ella que no se me  impuso sino que yo ilusa impasible la  árbitra a mi lado tras su largo brazo  que me condenó a meses de sonrisas de  trastero del cual perdí la llave meses  que me transformaron en día de panes  andantes que enterraron las cuatro  letras de mi nombre en un cementerio de  animación arte de donde surgió mesas  nuevas círculos marcados con manchas  arco historias mientras destruidas en la  tercera guerra mundial entre mi amor y  pole me puso guerras entre distinguir el  dolor del suicidio por el balazo de otro  en el disponer la pistola haciendo un  juego de disparé del 50% y joder cómo te  revientan leer yo saber que tú misma  dispone es el arma en tu mano y de  negras la muerte la suerte  y pensarían me quiero olvidar las cuatro  letras de mi nombre las más de veinte  primaveras que acordonó y pienso mi  duelo viéndome gobernada por unitario  emocional que etiquete esquizofrenia  porque cuando te ratón señor hasta que  al terminar se llamó el miedo y me tuve  el gobernado por el miedo me transporta  consciente a 98 lágrimas que fueron la  cuenta la herida 80 días mi boca  subiendo blanca espuma y apurando por  toda licencia cargada por la absorción  de todos los colores que desangró en  esta hemorragia interna que soy yo para  el país sólo yo pueda acabar con mi  último suspiro  futuro  no voy a seguir haciendo de mis pieles  lámparas y en mis huesos botones que  palpitante voy colgando en la vida para  dar el último mensaje  el ojo del  porque esta vez  muerte me dijo a mí  suerte en el próximo intento aunque trae  algo más fuerte esta depresión porque  tengo en el espejo una foto de quien fui  quien regresaré cuando acabe con ella la  misma ella que la suerte abandonó cuando  dispuse la pistola en la sien  aquí estoy viva felicidad ,Olza
CS,enero,2019,finalista,castellano, qué es un bosque los árboles o el  espacio que hay entre ellos  la soledad de mi abuelo es un tronco  octavo hasta donde la pobreza en casa de  posguerra con cinco años conocía mejor  en el campo que todos nosotros ya había  recogido que el hambre es la mejor  consejera y que lograr un sueño  significa sufrir  para que hablar para que llorar  la soledad de mi abuelo es el tronco que  sus pies destruida que no se sostiene a  todos  la soledad de mi madre es un tronco  heredera compasiva de misterios de  familia y ahora templado a golpe de  qué vergüenza cómo se enteren los  vecinos pero que dicen mujer no será  para tanto será histérica  con 15 años conocía mejor la muerte que  todos nosotros como una ausencia ocupa  más que un hermano  para que hablar para que llorar  la soledad de mi madre es del tronco que  sostiene su vida que nos sostiene a  todos  la soledad de mi hermana es un truco la  hija retrasada de una familia normal un  despertador de mis pobre qué pena  la hija retrasada sabe cuan solas  estamos y cuando la necesitamos para  amar y sabe que inevitable es llorar que  necesario es hablar y que hay alguien la  soledad de mi hermana es el tronco que  sostiene nuestra vida que nosotros tiene  a todos por eso cuando la mano de mi  hermana toda la de mi abuelo el tiempo  con ser espacio se abre y en silencio el  árido campo deviene un campo de juego y  la soledad de mi abuelo que es un tronco  revela que hicimos de ella la hamaca con  la que nos metemos todos para seguir  unidos ya esta sensación que no tiene  forma le llamamos casa  y heridos de pena nos metemos  discretamente para no molestar para no  armar lo es anda lo que los problemas  son cosa de otros  y sonreímos a vacas cercanas amigas  colegas vecinos agregamos un mismo  jardín o un mismo destino  formamos un jardín goteando sin saberlo  y es que una guerra nunca empieza cuando  empieza ni acaba cuando acaba preso  cuando mi hermana toma de la mano mi  abuelo el universo se pliega sobre sí  mismo y podemos verlo  y vemos vemos un mundo amorfo al que  todas damos forma corriendo desesperados  para mantenerlo todo quieto y sin  memoria haciendo del mapa territorio  vemos un orden extraño que nos golpea y  nos hace pedazos nos separa y los vuelve  enemigos y nos desordenamos para que  todo mantenga su orden  hasta hoy  hasta ahora  he tirado del hilo y el roto la marca  y el árbol al fin ha seguido anteojos de  madrugada pieles que ahora florecen y un  nuestro otros de gruesas ramas  que el árbol al fin ha cedido anteojos  de madrugada pieles que ahora florecen y  un nosotros de gruesas ramas ,crisal rodriguez
AL,enero,2019,finalista,castellano, podría deciros que somos espectros sin  hogar  qué dulzura perdió sosa o gestión de  cristal y cemento  que hemos olvidado de datos importantes  atrapados en los nodos de una red tejida  por una sociedad distante  pero no es eso lo que realmente quiero  deciros  podría deciros que somos como ratas  viviendo en aguas fecales podría deciros  que somos como buitres ser tratados en  disputa por los restos del cadáver de  una idea  que ya te recordamos el origen de esta  idea esa idea que un día se pensó a sí  misma y se dio un vestido humano  pero no es eso lo que realmente quiero  deciros  podría deciros que hemos truncado sueños  de fraternidad y concordia sueños que  han mutado en un progreso plastificado y  montañas de residuos podría deciros que  nuestras pretensiones de mejora son  plutonio radiactivo para aquel que aún  que es capaz de conmoverse podría  deciros que carece de sentido sentirse  independiente dependiendo siempre de  rumores y basuras vomitados por  serpientes a sueldo del sistema  pero no es eso lo que realmente quiero  deciros podría deciros que nuestra  especie se hunde en la miseria podría  deciros que somos muchas pulgas  consumiendo la sangre del planeta podría  deciros que somos yonkis de dolor y  sufrimiento alimento predilecto de un  entorno carnicero que regurgita  remanentes de ilusiones  pero tampoco es eso lo que realmente  quiero deciros  lo que quiero deciros  lo que de verdad quiero deciros es que  aún podemos aún podemos mirar ahí arriba  y darnos cuenta que somos tan pequeños  tan insignificantes lo que realmente  quiero deciros es que aún podemos ser  aún podemos ser parte de este mundo aún  podemos abrazar horizontes sostener  corazones evolucionar perdidas e  irradiar canciones aún podemos enjuagar  el sabor de almizcle en nuestra boca aún  podemos airear la ponzoña en nuestra  mente aún podemos refugiarnos en el  brillo de unos ojos  aún podemos ser humanos  y saber que todo absolutamente todo  comienza con una sola palabra amable  muchas gracias  no ,Alex Loro
AG,enero,2019,ganador,castellano, dicen que la droga  es la víctima  y am y otra vez se mandil atado a las  pupilas con la niebla grisácea que  exhala un verso aliado otra vez y  derramado polen blanco roto en la carne  de mis manos y es que hace tiempo que  soy dependiente del alivio que se quema  en el suburbio verde de un poema y el  consumo reiterado del eczema si morfemas  solo confirma mi adicción es que yo no  grito escribo ya no sangro escribo ya no  lloro escribo ya no siento escribo y así  una y otra vez y otra vez y otra vez me  encuentro clavada en la mano una pluma  descargando las últimas largas que  quedaron y mientras se me tinta el  cuerpo con caligrafía de calamón la  sinergia entre cannabis y letra penetra  en la sangre de un cuerpo desertor la  hemoglobina se oxigena con el hedor de  lo que ella misma se fuma las aurículas  a compás de los ventrículos es sangre  o corre como vino blanco entre los  cuervos que picotean un corazón bombeado  por el dictado por el dictado por el tic  tac de un presente casi taquicárdico  y sin embargo  ansiedad  tiene las uñas empapadas en sedantes el  rojo de mis ojos son espera la metáfora  que le diga que el corazón duele menos  sobre un papel  hay un bronquio que trago mal el humo y  está tosiendo los que se quedaron  soñolientos en el verso y mientras tanto  mi mente alucinada a consciencia en la  evasión de lo que escapa porque yo no  escribo yo tengo la huida ansiosa en la  palma y estas tres curvas  son sus líneas de fuga y así una y otra  vez y otra vez y otra vez y otra vez  final el cannabis en forma de papel para  dictar el pasado de amnésico narcótico  soy poesía dicta y proyecto morfina  electro como analgésico otra vez he  caído en la tentación de brindar un  verso para huir de la tortura y  estimular alguna que otra inclusión  benigna a mi grito le ha dado un colocón  de poesía para que se relaje y a mis  lágrimas las he convertido en semillas  somníferas todo por romper por robert  por robar por rodearme por rozar por  rogar  la huida de la ceniza y es que otra vez  en rollo el dolor en la sativa de un  poema  - u    y lo mató ,ainara garcia
PO,enero,2019,finalista,castellano,,pablowski
AS ,enero,2019,finalista,castellano,casi 30 primaveras educado dos carreras  y un máster para rellenar el currículum  completo pero de la vida de la vida  sabes poco y a mí me tachas de boca está  desquiciada o mal parida cuando te  cuento cómo son las cosas que no quieres  expulsar pero tú hoy casi a tus 30  primaveras están levantado ingenioso con  tu risa descarada y ganas de molestar  has tenido la gran idea de abrir el  debate en la mesa diciendo que estoy en  los días queriendo hacerme pequeña pero  lo que no esperabas es que está que está  enfrente si te puedes a contestar  que aquel huelen las nubes  qué a qué huelen las nubes siente que te  lo explico que te explico y pero y  nuestro que voy a quebrantar tus mitos  las nubes están bien lejos no aquí  dentro todavía no entre mi cuerpo y la  frase déjala que está en los días en los  días a mí es que esto de estar en los  días me hace mucha mucha gracia porque  sirve como excusa para echarlo todo en  cara para mirar a otro lado cuando yo me  pongo intensa como si aquí mis hormonas  dirigirse en una orquesta que son estos  días no sé por qué no se atreven a  llamarlo como toca dejar de decir está  mal y está indispuesta o que está loca  dejar de decir no hagas caso que está en  un día de esos anda ya jets al ovarios  que a mí no me da complejos y si señoras  y señores que aquí vamos que nos vamos  todos de vergüenza hablarlo las mujeres  si son gramos y no perdona bonito no es  que esté en estos días es que me pones  enferma con tus falsas  ironías con tanta industria del destape  pero vendiendo mentiras no sé a qué  huelen las nubes ni ando patas arriba lo  paralizó mi vida sólo por tener la regla  y tampoco es asqueroso y obvio que no  estoy enferma creo que este es el  momento para que nos demos cuenta  dejémonos de tanto cuento y hablemos de  cosas serias que a mí esto me sangra  igual que les sangra ella a tu madre a  tu hermana a tu jefa y a tu perra que si  te da asco irlo a lo bonito cuánta pena  pero esto es lo que toca tendrá que  cumplir condena hoy podemos caminar  dando los pasos bien firmes hasta con  pantalón blanco tranqui no te desanimes  bueno bien sin esconderme para ir rápida  al aseo por si mancha alguna silla y me  apuntan con el dedo que se metan ese  dedo donde les pueda caber que estoy  salud y es vida y no lo quieren su  esconder y si ahora que tendría saber si  estoy mostrando  yo te resuelvo la duda para que duermas  tranquilo pero por eso no pienses anda  ahora entiendo el texto mira la está  alterada está en un día de esos hablo de  esto porque quiero porque puedo hablar  del cuerpo y hoy mi cuerpo me ha  manchado de sangre hasta los tobillos  así que deja el temita sobre el olor de  las nubes hoy no tengo el coño para  carolinas  ,Ailin Swj 
O,enero,2019,finalista,castellano,,Olza
DO,enero,2019,ganador,castellano, los otros  historia ibérica en modo espídico  historia de españa' en tres minutos en  el principio de la gran crónica el gran  dios bíblico con bases más psíquicos  crea un bucólico planeta esférico y  donde el atlántico toca el cantábrico  crea una tierra península tica de  hombres verídicos y hembras magníficas  una del mítico digno de cántico lejos  del ártico cerca del trópico vas al  jurásico pasa el triásico  mientras en rústicas plazas town únicas  hombres prehistóricos hacen estéticas  medias verónicas a dinosaurios y en una  diáspora el macho ibérico salta el  cordón de lobby de nike o iba dejando en  sueño sus técnicos partes concretas del  gen hispánico a los américas desde lo  auténtico a los asiáticos desde lo  práctico a los gitanos es algo místico y  para los negros en el poder fálico pasan  helénicos pasas románicos y los  barbáricos se hacen católicos y en un  descuido de tintes épicos mientras que  estamos todos en la vida los musulmán y  ccoo suben speed y cost hasta tocar los  montes cantábricos donde las huestes  blancas caucásicas de un par de leches  mini perjudicas les quitan toda la goma  arábiga y los mandan de nuevo a todos  tiempos fantásticos para la lírica donde  los reyes que son católicos y era un  tipejo de acento histriónico y muy  extraño que piden tres súplicas que le  financien tres cadavéricas toma  ganancias estratosféricas en nuestro  imperio de siglo áurico nunca se pone el  astro lumínico vasos devuelven a los  paupérrimos las sucesivas cartas  monárquicas los hemofílicos los  sifilíticos los endogámicos y los bombo  lycos del norte para entes cómicos en  invasiones napoleónicas y por las  piernas de las américas perdemos todas  nuestras colonias semanas trágicas y  cambios cíclicos conservador y cost y  progresista y cost y con el triunfo de  los izquierdistas muchos amigos de las  esvásticas se ponen un pelín para  bélicos y lo que le hacen a la república  por no caer en los problemáticos se lo  describo usando la anímica tras este  borde de desmanes julio masónicos fuera  lo erótico fuera lo crítico y lo  ideológico queda en el ámbito del  ecuménico y de la eucaristía modos de  ser carpetovetónicos hombres famélicos y  niños físicos spain es typical spanish  tropical un demográfico viento a pertur  y co frank lo calórico a nuestras costas  las sicalípticas suecas magníficas  viendo a pertur y como en el tiránico ya  somos libres en lo político ya no nos  manda ningún chupóptero pero allá arriba  por sus crónicos siegel borbónico dando  por público musical y pico baile  ideológico de la izquierdista y ccoo  hacia lo céntrico vayan al paso de  nuestros votos los socialistas con lo  que perico con neuro médico unión  económica sedes olímpicas moneda única  los históricos vivas de empréstito un  urbanístico crack urbanístico crack  económico muerte de clínicas cierre de  fábricas y de repente toda la gente  vuelve la vista hacia lo izquierdista y  ccoo y nuestros líderes izquierdistas se  dan de hostias como energúmenos nuestros  líderes izquierdistas compran chalés en  lo periférico y de repente toda la gente  vuelve la vista hacia las esvásticas  no pasa nada somos simpáticos somos  graciosos siendo la verdad toda la culpa  es de los de áfrica y de esta histórica  ibérica espídica que ahora se pone tan  ansiolítica  en la fuerza de vuestros dígitos el  escribir el siguiente capítulo  no ,dani orviz
MM,Diciembre,2018,finalista,castellano,,Makis Moulos
LG,Diciembre,2018,finalista,castellano,,Laura García
MB,Diciembre,2018,finalista,castellano, hoy las farolas han decidido unir los  puntos  formando el dibujo de una amapola con tu  rostro  reflejo de una vida bochornosa  culpando a los demás sabiendo que eras  tú el monstruo  la cima no es para tanto ahora el  aumento cada ayer bajo pisado en esta  colina bailemos en armonía y juntemos el  borde de estas gotas que son pocas y nos  queda sin abrir la fantasía sentadas en  el hueco de dos rocas en la cúspide de  esta sierra saca la lupa de la chistera  porque hoy el mundo nos ofrece su cara  más tierna  hay medallas y cortinas que se cuelgan  de un hilo para tapar la cara de aquel  que a cambio de fortuna nunca ha dormido  tranquilo  he alimentado la misma hoguera 228 en  unas llenas  su juego apenas cliente pero  reduce las tinieblas soy poeta rapero  valiente independiente punto de mira  demuestra bastante es que mujeres  al igual que estoy poeta rapera guerrera  valiente y diana de cabezas tengas antes  que mujer blanca de clase media  pero aún así  me siendo vieja sin cortejo y sola en su  compañía creando melodías me abstengo de  reaccionar me con quien me quiere a  orden del día  espero tu llamada  reniego de mi jauría cuyo logro es ser  infeliz porque esta loba solitaria sigue  teniendo tu olor en su nariz he robado  los planos de la ciudad hagamos nuestro  el acantilado y gritemos nuestro nombre  al mar hoy la autoridad es nuestro amor  el transporte nuestras ganas de volar  alexandría siente envidia de tu luz  solar pura  simple  tan tuya que se hace de rogar mírame  temblando sin ser otoño me desplomó a  tus pies te conocí siendo libre y nunca  te dejaré de conocer planeando mil pies  de altura yo me conformo con ver tus  ojos apuntando mi sien en medio del  vuelo yo fui tu anhelo y ahora canto  nuestros juegos a extraños que no logran  entender por qué se fue  y quizá es porque la querella de  quererla siendo ella  es dejarla hacer  cuarto  gracias  bueno pues seguimos para curarlo ,marta b
PT,Diciembre,2018,finalista,castellano,,Pedro Toledano
